成就ID,前置ID1,前置ID2,前置ID3,前置ID4,图标ID,X轴,Y轴,名称,描述,追踪,组（1新手2主线3生产4战斗5其他）,类型（1普通2账号）,目标（1拾取物品2合成物品3熔炼物品4使用物品5损耗物品6开采物品7击杀生物8繁殖生物9驯服生物10行走距离11游泳距离12摔落距离13攀爬距离14飞行距离15水下移动距离16坐矿车距离17坐船距离18骑猪距离19骑马距离20跳跃次数21死亡次数22物品掉落次数23造成伤害24受到伤害25好友数26转发数27分享地图28星星29获得玫瑰30获得钻石31获得赞32获得皮肤33附魔34进入区域）,组（0不为组1为组）,对象ID,数值,奖励1类型（0道具1星星2钻石）,奖励ID1,数量,奖励2类型（0道具1星星2钻石）,奖励ID2,数量,成就点数
ID,FrontID1,FrontID2,FrontID3,FrontID4,IconID,GridX,GridY,Name,Desc,TrackDesc,Group,Type,Goal,IsGroup,GoalId,GoalNum,RewardType1,RewardID1,RewardNum1,RewardType2,RewardID2,RewardNum2,Point
1000,0,0,0,0,200,1,3,我需要些木头,摧毁树木直到跳出1个方块,采集#cff6100木头,2,1,6,1,200,1,1,,5,,,,1
1001,1000,0,0,0,800,3,3,手工时间！,用4个木板制作1个工作台,制作#cff6100工作台,2,1,2,,800,1,0,817,5,,,,1
1002,1001,0,0,0,2001,5,1,出击时间！,用木板和木棍制作木剑,制作#cff6100木剑,2,1,2,,2001,1,,817,5,,,,1
1003,1001,0,0,0,1011,5,3,采矿时间！,用木板和木棍制作木镐,制作#cff6100木镐,2,1,2,,1011,1,,817,5,,,,1
1004,1001,0,0,0,1031,5,5,耕种时间！,用木板和木棍制作木锄,制作#cff6100木锄,2,1,2,,1031,1,,817,5,,,,1
1005,1002,0,0,0,2003,7,1,第一次战斗,杀死1只僵尸,杀死#cff6100任意怪物,2,1,7,,3101,1,,817,5,,,,1
1006,1003,0,0,0,802,7,3,烧烤时间！,用8个原石制作1个熔炉,制作#cff6100熔炉,2,1,2,,802,1,,817,5,,,,1
1007,1004,0,0,0,1400,7,5,上帝的恩赐,除杂草获得小麦种子,拾取#cff6100小麦种子,2,1,1,,1400,1,,817,5,,,,1
1008,1006,0,0,0,1202,9,3,木炭一箩筐,用木质材料烧木头获得木炭,制作#cff6100木炭,2,1,3,,1202,1,,817,5,,,,1
1009,1008,0,0,0,1209,11,3,来硬的,熔炼铁矿石获得铁锭,熔炼#cff6100铁锭,2,1,3,,1209,1,,817,5,,,,1
1010,1009,0,0,0,1013,13,3,撬动矿石,用铁锭和木棍制作铁镐,制作#cff6100铁镐,2,1,2,,1013,1,,817,5,,,,1
1011,1010,0,0,0,400,15,1,我发财了！,用铁镐或钻石镐采集金矿,采集#cff6100金矿,2,1,6,,400,1,,817,5,,,,1
1012,1010,0,0,0,404,15,3,耶！钻石！,用铁镐或钻石镐采集钻石,采集#cff6100钻石,2,1,6,,404,1,,817,5,,,,1
1013,1010,0,0,0,405,15,5,第一次触电,用铁镐或钻石镐采集橙石,采集#cff6100橙石,2,1,6,,405,1,,817,5,,,,1
1014,1012,0,0,0,112,17,3,硬家伙,用钻石镐采集黑曜石,采集#cff6100黑曜石,2,1,6,,1011,1,,817,5,,,,1
1015,1014,0,0,0,833,19,3,魔法师,制作附魔台,制作#cff6100附魔台,2,1,2,,1031,1,,817,5,,,,1
1016,1015,0,0,0,1322,21,3,少儿不宜,对卷轴进行附魔,附魔#cff6100卷轴,2,1,33,,,1,,817,5,,,,1
1017,1016,0,0,0,4000,23,3,探索神庙,野外找到神庙，并进入神庙,探索#cff6100神庙,2,1,34,,,1,,817,5,,,,1
1018,1017,0,0,0,4000,25,3,诱惑宝珠,探索神庙获得诱惑宝珠,获得#cff6100诱惑宝珠,2,1,1,,,1,,817,5,,,,1
1019,1018,0,0,0,4000,27,1,这东西在看我,击杀末影人获得末影珍珠,获得#cff6100末影珍珠,2,1,1,,,1,,817,5,,,,1
1020,1018,0,0,0,4000,27,5,吓我一跳！,击杀神庙守卫获得上古遗骸,获得#cff6100上古遗骸,2,1,1,,,1,,817,5,,,,1
1021,1019,1020,0,0,4000,29,3,上古遗物,合成上古遗物,制作#cff6100上古遗物,2,1,2,,,1,,817,5,,,,1
1022,1021,0,0,0,4000,31,3,传送门,使用上古遗物产生传送门,使用#cff6100上古遗物,2,1,4,,,1,,817,5,,,,1
1023,1022,0,0,0,4000,33,3,结束了？,进入末世之地,进入#cff6100末世之地,2,1,34,,,1,,817,5,,,,1
1024,1023,0,0,0,4000,35,3,结束了！,击败末影龙,击败#cff6100末影龙,2,1,7,,,1,,817,5,,,,1
1025,1024,0,0,0,4000,37,3,这能吃吗？,拾取龙蛋,拾取#cff6100龙蛋,2,1,1,,,1,,817,5,,,,1
1026,1025,0,0,0,4000,39,3,未知的世界,未知的世界,未知的#cff6100世界,2,1,1,,,1,,817,5,,,,1
1027,0,0,0,0,1051,1,3,灌溉,制作1个铁桶，1格水灌溉4格半径土地,制作#cff6100铁桶,3,1,2,,1051,1,,817,5,,,,1
1028,1027,0,0,0,1031,3,3,耕地,使用木锄进行耕地，可播种,使用#cff6100木锄,3,1,4,,1031,1,,817,5,,,,1
1029,1028,0,0,0,229,5,3,收获季节,获得小麦,获得#cff6100小麦,3,1,1,,229,1,,817,5,,,,1
1030,1029,0,0,0,2502,7,1,烘焙面包,制作1个面包,制作#cff6100面包,3,1,2,,2502,1,,817,5,,,,1
1031,1030,0,0,0,2509,9,1,牛奶,喝下1桶牛奶,使用#cff6100牛奶桶,3,1,4,,2509,1,,817,5,,,,1
1032,1031,0,0,0,830,11,1,蛋糕师,制作蛋糕,制作#cff6100蛋糕,3,1,2,,830,1,,817,5,,,,1
1033,1029,0,0,0,3401,7,3,配种师-哞,用小麦繁殖出1头牛,繁殖#cff6100牛,3,1,7,,3401,1,,817,5,,,,1
1034,1033,0,0,0,1034,9,3,斗牛士,击杀牛获得皮革,获得#cff6100皮革,3,1,1,,1034,1,,817,5,,,,1
1035,1034,0,0,0,2517,11,3,烤牛排,用熔炉制作牛排,制作#cff6100牛排,3,1,3,,2517,1,,817,5,,,,1
