名字,中文名,最低高度,最高高度,温度(0-100),湿度[0-100],填充块,填充深度(从顶层开始算）,顶层块,水颜色偏色,是否可以下雨,是否可以下雪,树生成次数/每区块,草(%几率选择1个区块256格*128方块尝试）,野草,蕨,向日葵,欧丁香,蓝牡丹,山茶花,兰花,凤仙花,情人草,红色郁金香,橙色郁金香,灰色郁金香,粉色郁金香,小白菊,蒲公英,小玫瑰,南瓜,西瓜,枯萎灌木,甘蔗,仙人掌,蘑菇,巨型蘑菇,简易罐子,陶土罐子,彩陶罐子
TypeName,Name,MinHeight,MaxHeight,Heat,Humid,FillBlock,FillDepth,TopBlock,WaterColor,EnableRain,EnableSnow,ChunkTrees,ChunkGrass224,ChunkGrass243,ChunkGrass238,ChunkFlowers300,ChunkFlowers301,ChunkFlowers302,ChunkFlowers303,ChunkFlowers304,ChunkFlowers305,ChunkFlowers306,ChunkFlowers307,ChunkFlowers308,ChunkFlowers309,ChunkFlowers310,ChunkFlowers311,ChunkFlowers312,ChunkFlowers313,ChunkPumpkin,ChunkWatermelon,ChunkDeadBush,ChunkReeds,ChunkCactus,ChunkMushroom,ChunkBigMushroom,ChunkJar737,ChunkJar738,ChunkJar739
Times,尝试生成次数,0,0,0,0,0,0,0,0,0,0,3,100,2,2,6,3,3,4,4,5,3,5,5,5,5,5,5,5,8,6,1,8,3,2,1,4,4,4
OCEAN,海洋,-1,0.4,50,87,106,3,106,FFFFFF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAINS,草原,0.1,0.3,65,40,101,5,100,FFFFFF,1,0,-100,3000,100,50,100,0,0,100,0,0,0,0,0,0,0,100,100,0,0,0,0,15000,0,0,0,100,100,100
DESERT,沙漠,0.1,0.2,95,12,106,7,106,FFFFFF,0,0,-100,-1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,20000,100,0,0,100,100,100
EXTREMEHILLS,峭壁,0.3,1.5,35,40,101,3,100,FFFFFF,0,1,50,30,100,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,15000,0,0,0,100,100,100
FOREST,森林,0.1,0.3,62,62,101,5,100,FFFFFF,1,0,600,200,10,5,0,0,0,100,0,10,0,0,0,0,100,0,10,0,0,0,0,15000,0,0,0,100,100,100
TAIGA,针叶林,0.1,0.4,37,50,101,3,100,FFFFFF,0,1,550,200,100,100,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,100,100
SWAMPLAND,沼泽,-0.2,0.1,62,87,101,4,100,FFFFFF,1,0,300,800,100,100,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,0,20000,0,0,0,100,100,100
ICE_PLAINS,冰原,0.1,0.3,10,50,101,3,,FFFFFF,0,1,-1,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100
MUSHROOM_ISLAND,蘑菇岛,0.2,1,70,70,101,1,233,FFFFFF,1,0,-100,-100,0,0,0,100,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1000,100,100,100
JUNGLE,丛林,0.2,0.4,75,60,101,4,100,FFFFFF,1,0,2500,500,100,500,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,100,0,15000,0,100,100,100,100,100
RIVER,河流,-0.5,0,50,70,106,3,106,FFFFFF,1,0,-100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600,0,0,0,100,100,100
FROZEN_OCEAN,冻洋,-1,0.5,30,50,106,5,106,FFFFFF,0,1,-100,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100
FROZEN_RIVER,冻河,-0.5,0,35,50,106,3,106,FFFFFF,0,1,-100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,100,100,100
ICE_MOUNTAINS,冰山,0.3,1.3,10,40,123,1,,FFFFFF,0,1,-100,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,100,100,100
MUSHROOM_ISLANDSHORE,蘑菇岛海岸,-1,0.1,70,80,106,3,233,FFFFFF,1,0,-100,100,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,300,0,100,100,100
BEACH,沙滩,0,0.1,70,40,106,3,106,FFFFFF,0,0,-100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,100,0,0,100,100,100
DESERT_HILLS,沙漠山丘,0.3,0.8,80,20,106,3,106,FFFFFF,0,1,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,100,100,100
FOREST_HILLS,森林山丘,0.3,0.7,87,50,101,6,100,FFFFFF,1,1,100,200,100,100,0,100,0,0,0,100,0,100,100,100,100,50,0,100,100,0,0,0,0,0,0,100,100,100
TAIGA_HILLS,针叶林山丘,0.3,0.8,35,30,101,5,100,FFFFFF,0,1,100,200,100,100,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,100
EXTREMEHILLS_EDGE,峭壁边缘,0.2,0.8,60,30,104,4,104,FFFFFF,1,1,50,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,100,100,100
JUNGLE_HILLS,丛林山丘,1.8,0.5,60,70,101,5,100,FFFFFF,1,0,150,100,50,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100
Earthcore,地心副本,,,100,0,,,,FFFFFF,0,0,,,,,,,,,,,,,,,,,,,,,500,,,500,,100,100,100
